PrNumber,Scenario,MinLatencyMs,MaxLatencyMs,AvgLatencyMs
1685,Base Test (QUIC),0.000,2.783,1.069
1713,Base Test (QUIC),0.659,4.512,1.707
1719,Base Test (QUIC),0.000,0.821,0.259
1721,Base Test (QUIC),0.325,1.944,1.020
1723,Base Test (QUIC),0.229,1.917,0.856
1727,Base Test (QUIC),0.000,1.681,0.725
1728,Base Test (QUIC),0.000,1.573,0.602
1729,Base Test (QUIC),0.208,1.837,0.893
1730,Base Test (QUIC),0.223,1.857,0.875
1731,Base Test (QUIC),0.000,1.782,0.661
1732,Base Test (QUIC),0.000,1.274,0.557
1733,Base Test (QUIC),0.000,1.783,0.731
1734,Base Test (QUIC),0.000,2.676,0.796
1735,Base Test (QUIC),0.271,2.006,0.949
1736,Base Test (QUIC),0.203,1.943,0.726
1739,Base Test (QUIC),0.186,2.179,0.849
1740,Base Test (QUIC),0.000,1.918,0.761
1741,Base Test (QUIC),0.219,1.755,0.718
1742,Base Test (QUIC),0.254,1.959,0.939
1744,Base Test (QUIC),0.000,1.371,0.550
1745,Base Test (QUIC),0.000,1.455,0.561
1746,Base Test (QUIC),0.338,1.958,0.943
1747,Base Test (QUIC),0.000,2.546,0.832
1749,Base Test (QUIC),0.000,1.978,0.807
1750,Base Test (QUIC),0.207,1.997,0.867
1751,Base Test (QUIC),0.000,1.535,0.633
1752,Base Test (QUIC),0.221,2.434,1.098
1753,Base Test (QUIC),0.229,1.934,0.735
1754,Base Test (QUIC),0.000,1.541,0.608
1755,Base Test (QUIC),0.322,2.256,1.008
1760,Base Test (QUIC),0.000,1.587,0.530
1761,Base Test (QUIC),0.205,1.879,0.823
1762,Base Test (QUIC),0.000,1.830,0.822
1764,Base Test (QUIC),0.368,2.144,1.001
1765,Base Test (QUIC),0.213,1.966,0.919
1768,Base Test (QUIC),0.000,1.840,0.789
1769,Base Test (QUIC),0.187,1.831,0.785
1770,Base Test (QUIC),0.263,1.849,0.862
1771,Base Test (QUIC),0.179,1.714,0.741
1772,Base Test (QUIC),0.000,1.796,0.384
1773,Base Test (QUIC),0.323,2.375,0.935
1775,Base Test (QUIC),0.000,1.343,0.539
1776,Base Test (QUIC),0.000,1.580,0.664
1777,Base Test (QUIC),0.000,1.815,0.689
1781,Base Test (QUIC),0.000,2.349,0.829
1782,Base Test (QUIC),0.169,1.672,0.677
1783,Base Test (QUIC),0.197,1.771,0.918
1784,Base Test (QUIC),0.000,1.586,0.625
1785,Base Test (QUIC),0.306,1.984,0.880
1786,Base Test (QUIC),0.000,1.678,0.554
1787,Base Test (QUIC),0.000,1.404,0.506
1789,Base Test (QUIC),0.000,1.476,0.520
1790,Base Test (QUIC),0.448,3.783,1.456
1791,Base Test (QUIC),0.000,2.333,0.838
1792,Base Test (QUIC),0.242,2.056,0.873
1793,Base Test (QUIC),0.423,2.873,1.195
1796,Base Test (QUIC),0.000,2.073,0.824
1798,Base Test (QUIC),0.357,2.809,1.267
1801,Base Test (QUIC),0.392,2.498,1.176
1802,Base Test (QUIC),0.000,2.435,0.885
1803,Base Test (QUIC),0.000,1.792,0.661
1804,Base Test (QUIC),0.404,2.426,1.160
1806,Base Test (QUIC),0.364,2.214,1.118
1807,Base Test (QUIC),0.000,2.181,0.990
1808,Base Test (QUIC),0.000,2.954,1.148
1809,Base Test (QUIC),0.424,2.497,1.215
1810,Base Test (QUIC),0.000,2.517,1.187
1811,Base Test (QUIC),0.000,2.223,1.033
1812,Base Test (QUIC),0.000,2.517,1.098
1813,Base Test (QUIC),0.359,2.560,1.268
1814,Base Test (QUIC),0.449,2.569,1.200
1815,Base Test (QUIC),0.296,2.510,1.277
1816,Base Test (QUIC),0.364,2.509,1.181
1817,Base Test (QUIC),0.286,2.615,1.244
1819,Base Test (QUIC),0.000,2.074,0.863
1820,Base Test (QUIC),0.396,4.512,1.411
1821,Base Test (QUIC),0.000,2.230,0.948
1823,Base Test (QUIC),0.336,2.542,1.204
1824,Base Test (QUIC),0.369,2.512,1.203
1825,Base Test (QUIC),0.381,3.394,1.323
1828,Base Test (QUIC),0.370,2.811,1.341
1829,Base Test (QUIC),0.420,3.227,1.366
1831,Base Test (QUIC),0.451,2.571,1.242
1832,Base Test (QUIC),0.407,2.708,1.218
1835,Base Test (QUIC),0.000,2.375,1.116
1837,Base Test (QUIC),0.483,3.946,1.650
1838,Base Test (QUIC),0.583,4.238,1.700
1839,Base Test (QUIC),0.000,2.346,1.018
1841,Base Test (QUIC),0.588,4.349,1.666
1842,Base Test (QUIC),0.528,4.111,1.618
1843,Base Test (QUIC),0.572,4.512,1.699
1844,Base Test (QUIC),0.220,2.563,1.034
1845,Base Test (QUIC),0.368,2.672,1.254
1846,Base Test (QUIC),0.507,3.922,1.552
1847,Base Test (QUIC),0.549,4.296,1.605
1848,Base Test (QUIC),0.387,3.873,1.509
1849,Base Test (QUIC),0.559,4.155,1.613
1850,Base Test (QUIC),0.571,4.365,1.720
1852,Base Test (QUIC),0.609,4.428,1.646
1853,Base Test (QUIC),0.637,4.471,1.781
1855,Base Test (QUIC),0.441,4.182,1.639
1857,Base Test (QUIC),0.491,4.108,1.600
1858,Base Test (QUIC),0.609,4.512,1.780
1860,Base Test (QUIC),0.636,4.512,1.830
1861,Base Test (QUIC),0.586,4.385,1.749
1862,Base Test (QUIC),0.512,3.944,1.636
1863,Base Test (QUIC),0.412,4.006,1.531
1864,Base Test (QUIC),0.535,4.238,1.607
1865,Base Test (QUIC),0.548,4.119,1.667
1866,Base Test (QUIC),0.582,4.512,1.720
1868,Base Test (QUIC),0.592,4.201,1.716
1869,Base Test (QUIC),0.390,4.154,1.414
1870,Base Test (QUIC),0.571,3.851,1.555
1871,Base Test (QUIC),0.660,4.208,1.760
1872,Base Test (QUIC),0.582,3.972,1.690
1874,Base Test (QUIC),0.497,4.180,1.590
1877,Base Test (QUIC),0.401,4.207,1.385
1878,Base Test (QUIC),0.424,3.590,1.377
