PrNumber,Scenario,MinLatencyMs,MaxLatencyMs,AvgLatencyMs
1599,Base test,0.315,2.298,1.042
1608,Base test,0.429,2.513,1.134
1611,Base test,0.308,2.647,1.015
1612,Base test,0.349,2.370,1.035
1613,Base test,0.397,2.486,1.177
1614,Base test,0.259,2.258,0.899
1615,Base test,0.317,2.316,1.040
1616,Base test,0.333,2.407,1.085
1617,Base test,0.266,2.065,0.860
1618,Base test,0.278,3.120,1.015
1620,Base test,0.322,2.328,1.020
1623,Base test,0.300,2.193,0.945
1624,Base test,0.301,2.359,0.986
1625,Base test,0.302,2.398,1.074
1627,Base test,0.263,2.082,0.899
1630,Base test,0.338,2.241,0.975
1632,Base test,0.288,2.339,0.958
1634,Base test,0.308,2.187,1.027
1637,Base test,0.318,2.267,0.959
1638,Base test,0.313,2.268,1.047
1639,Base test,0.358,2.480,1.103
1643,Base test,0.317,2.591,1.046
1644,Base test,0.274,2.231,0.908
1645,Base test,0.293,1.950,0.882
1646,Base test,0.278,2.493,0.896
1653,Base test,0.312,2.596,1.064
1657,Base test,0.308,2.270,1.011
1658,Base test,0.280,2.198,0.957
1659,Base test,0.296,2.587,0.991
1662,Base test,0.292,2.539,0.923
1664,Base test,0.296,1.811,0.867
1665,Base test,0.296,2.355,0.959
1666,Base test,0.437,2.373,1.126
1667,Base test,0.265,2.516,0.910
1668,Base test,0.444,2.368,1.125
1669,Base test,0.396,2.412,1.085
1670,Base test,0.323,2.166,0.983
1671,Base test,0.305,2.482,1.049
1672,Base test,0.305,2.401,1.053
1673,Base test,0.293,2.505,1.056
1675,Base test,0.333,2.396,1.080
1676,Base test,0.322,2.211,0.989
1677,Base test,0.370,2.686,1.137
1679,Base test,0.273,2.876,1.007
1680,Base test,0.338,2.527,1.062
1681,Base test,0.275,2.543,0.874
1683,Base test,0.318,2.441,1.065
1684,Base test,0.322,2.495,1.137
1685,Base Test (TCP),0.405,41.679,1.321
1686,Base test,0.278,2.073,0.852
1687,Base test,0.325,2.354,1.080
1688,Base test,0.297,2.257,0.991
1689,Base test,0.275,2.217,1.003
1690,Base test,0.297,2.562,1.017
1691,Base test,0.280,2.383,0.971
1692,Base test,0.277,3.300,1.068
1693,Base test,0.407,2.337,1.026
1694,Base test,0.304,2.394,1.054
1695,Base test,0.329,2.521,1.100
1696,Base test,0.319,2.316,1.054
1698,Base test,0.372,2.490,1.087
1700,Base test,0.289,2.352,0.961
1701,Base test,0.317,2.218,0.886
1702,Base test,0.262,2.233,0.878
1703,Base test,0.298,2.267,1.028
1704,Base test,0.376,2.836,1.247
1705,Base test,0.331,2.352,1.023
1706,Base test,0.257,2.316,0.887
1707,Base test,0.286,2.371,1.015
1709,Base test,0.299,2.306,0.952
1712,Base test,0.267,1.972,0.875
1713,Base Test (TCP),0.530,3.568,1.716
1714,Base test,0.277,2.457,1.003
1715,Base test,0.240,2.517,0.997
1716,Base test,0.266,2.295,0.982
1717,Base test,0.424,2.685,1.178
1719,Base Test (TCP),0.235,1.995,0.804
1720,Base test,0.261,1.988,0.839
1721,Base Test (TCP),0.364,2.495,1.092
1722,Base test,0.422,2.309,1.110
1723,Base Test (TCP),0.274,2.154,0.850
1724,Base test,0.297,2.482,1.026
1727,Base Test (TCP),0.313,2.433,0.996
1728,Base Test (TCP),0.291,2.387,0.959
1729,Base Test (TCP),0.317,2.387,1.046
1730,Base Test (TCP),0.356,2.335,1.083
1731,Base Test (TCP),0.274,2.411,0.907
1732,Base Test (TCP),0.222,2.018,0.852
1733,Base Test (TCP),0.290,2.145,0.933
1734,Base Test (TCP),0.253,2.515,0.953
1735,Base Test (TCP),0.319,2.441,1.103
1736,Base Test (TCP),0.268,2.129,0.932
1739,Base Test (TCP),0.303,2.243,1.033
1740,Base Test (TCP),0.246,2.354,0.974
1741,Base Test (TCP),0.304,2.225,0.901
1742,Base Test (TCP),0.316,2.359,1.042
1744,Base Test (TCP),0.217,2.232,0.807
1745,Base Test (TCP),0.252,2.120,0.838
1746,Base Test (TCP),0.431,3.212,1.146
1747,Base Test (TCP),0.247,3.323,1.110
1749,Base Test (TCP),0.291,2.256,0.967
1750,Base Test (TCP),0.267,2.348,0.981
1751,Base Test (TCP),0.297,2.230,0.902
1752,Base Test (TCP),0.392,2.484,1.065
1753,Base Test (TCP),0.267,2.177,0.980
1754,Base Test (TCP),0.335,2.245,1.053
1755,Base Test (TCP),0.447,2.542,1.187
1760,Base Test (TCP),0.289,2.492,0.955
1761,Base Test (TCP),0.251,2.067,0.857
1762,Base Test (TCP),0.361,2.443,1.106
1764,Base Test (TCP),0.400,2.400,1.137
1765,Base Test (TCP),0.393,2.524,1.130
1768,Base Test (TCP),0.323,2.732,1.215
1769,Base Test (TCP),0.267,2.678,1.003
1770,Base Test (TCP),0.357,2.575,1.135
1771,Base Test (TCP),0.284,2.320,0.933
1772,Base Test (TCP),0.266,2.945,0.939
1773,Base Test (TCP),0.319,2.775,0.997
1775,Base Test (TCP),0.284,2.175,0.910
